Jenis,Nama,Bulan,Tanggal,Forecast,Lower_CI,Upper_CI
Komoditas,Gula Pasir,2026-01,2026-01-01,-0.0608,-0.3919,0.2703
Komoditas,Gula Pasir,2026-02,2026-02-01,-0.0134,-0.3414,0.3147
Komoditas,Ikan Kembung,2025-09,2025-09-01,0.5877,-1.1786,2.3540
Komoditas,Ikan Kembung,2025-10,2025-10-01,0.2311,-1.8688,2.3310
Komoditas,Ikan Kembung,2025-11,2025-11-01,0.3431,-1.9354,2.6216
Komoditas,Ikan Kembung,2025-12,2025-12-01,-0.3787,-2.7156,1.9582
Komoditas,Ikan Kembung,2026-01,2026-01-01,0.2509,-2.1269,2.6286
Komoditas,Ikan Kembung,2026-02,2026-02-01,-0.9026,-3.2870,1.4818
Komoditas,Jeruk,2025-09,2025-09-01,0.4620,-1.6648,2.5887
Komoditas,Jeruk,2025-10,2025-10-01,1.5972,-0.9096,4.1041
Komoditas,Jeruk,2025-11,2025-11-01,-0.3831,-3.0455,2.2794
Komoditas,Jeruk,2025-12,2025-12-01,-0.3438,-3.0595,2.3718
Komoditas,Jeruk,2026-01,2026-01-01,0.3885,-2.3544,3.1314
Komoditas,Jeruk,2026-02,2026-02-01,-0.2469,-2.9975,2.5037
Komoditas,Mie Kering Instan,2025-09,2025-09-01,-0.2360,-1.7430,1.2709
Komoditas,Mie Kering Instan,2025-10,2025-10-01,-0.4191,-1.9387,1.1005
Komoditas,Mie Kering Instan,2025-11,2025-11-01,-0.3773,-1.8983,1.1438
Komoditas,Mie Kering Instan,2025-12,2025-12-01,0.0697,-1.4512,1.5906
Komoditas,Mie Kering Instan,2026-01,2026-01-01,-0.8469,-2.3677,0.6740
Komoditas,Mie Kering Instan,2026-02,2026-02-01,0.7382,-0.7829,2.2593
Komoditas,Minyak Goreng,2025-09,2025-09-01,0.3510,-0.3637,1.0658
Komoditas,Minyak Goreng,2025-10,2025-10-01,0.0717,-0.6443,0.7878
Komoditas,Minyak Goreng,2025-11,2025-11-01,0.1685,-0.5475,0.8846
Komoditas,Minyak Goreng,2025-12,2025-12-01,-0.0491,-0.7652,0.6670
Komoditas,Minyak Goreng,2026-01,2026-01-01,0.0439,-0.6724,0.7602
Komoditas,Minyak Goreng,2026-02,2026-02-01,-0.3786,-1.0894,0.3321
Komoditas,Pisang,2025-09,2025-09-01,0.0660,-2.0528,2.1847
Komoditas,Pisang,2025-10,2025-10-01,-0.1030,-2.5251,2.3191
Komoditas,Pisang,2025-11,2025-11-01,-0.1686,-2.7232,2.3860
Komoditas,Pisang,2025-12,2025-12-01,0.0057,-2.5770,2.5884
Komoditas,Pisang,2026-01,2026-01-01,0.0760,-2.5108,2.6627
Komoditas,Pisang,2026-02,2026-02-01,-0.1944,-2.7610,2.3721
Komoditas,Susu Bubuk,2025-09,2025-09-01,0.1573,-1.3968,1.7114
Komoditas,Susu Bubuk,2025-10,2025-10-01,0.4092,-1.2133,2.0316
Komoditas,Susu Bubuk,2025-11,2025-11-01,-0.0168,-1.6499,1.6163
Komoditas,Susu Bubuk,2025-12,2025-12-01,0.0787,-1.5544,1.7118
Komoditas,Susu Bubuk,2026-01,2026-01-01,-0.2022,-1.8357,1.4313
Komoditas,Susu Bubuk,2026-02,2026-02-01,-0.0647,-1.6981,1.5688
Komoditas,Susu Bubuk Balita,2025-09,2025-09-01,0.4971,-0.8466,1.8408
Komoditas,Susu Bubuk Balita,2025-10,2025-10-01,-0.9253,-2.3071,0.4564
Komoditas,Susu Bubuk Balita,2025-11,2025-11-01,0.2756,-1.1107,1.6620
Komoditas,Susu Bubuk Balita,2025-12,2025-12-01,-0.0330,-1.4192,1.3531
Komoditas,Susu Bubuk Balita,2026-01,2026-01-01,0.0133,-1.3730,1.3995
Komoditas,Susu Bubuk Balita,2026-02,2026-02-01,-0.3615,-1.7477,1.0247
Komoditas,Tahu,2025-09,2025-09-01,-0.0075,-0.5841,0.5692
Komoditas,Tahu,2025-10,2025-10-01,0.0426,-0.5589,0.6442
Komoditas,Tahu,2025-11,2025-11-01,0.0017,-0.6035,0.6070
Komoditas,Tahu,2025-12,2025-12-01,-0.0235,-0.6287,0.5818
Komoditas,Tahu,2026-01,2026-01-01,-0.0202,-0.6256,0.5852
Komoditas,Tahu,2026-02,2026-02-01,-0.1548,-0.7601,0.4506
Komoditas,Telur Ayam Ras,2025-09,2025-09-01,-0.4043,-1.4442,0.6357
Komoditas,Telur Ayam Ras,2025-10,2025-10-01,0.2281,-0.8163,1.2725
Komoditas,Telur Ayam Ras,2025-11,2025-11-01,0.4765,-0.5692,1.5222
Komoditas,Telur Ayam Ras,2025-12,2025-12-01,0.1408,-0.9050,1.1865
Komoditas,Telur Ayam Ras,2026-01,2026-01-01,-0.5856,-1.6296,0.4583
Komoditas,Telur Ayam Ras,2026-02,2026-02-01,-0.0330,-1.0671,1.0012
Komoditas,Tempe,2025-09,2025-09-01,-0.0501,-1.3549,1.2547
Komoditas,Tempe,2025-10,2025-10-01,-0.0050,-1.4396,1.4295
Komoditas,Tempe,2025-11,2025-11-01,0.1025,-1.3668,1.5717
Komoditas,Tempe,2025-12,2025-12-01,0.0229,-1.4512,1.4970
Komoditas,Tempe,2026-01,2026-01-01,-0.0895,-1.5662,1.3872
Komoditas,Tempe,2026-02,2026-02-01,0.0385,-1.4381,1.5151
Komoditas,Tepung Terigu,2025-09,2025-09-01,-0.1917,-1.1123,0.7289
Komoditas,Tepung Terigu,2025-10,2025-10-01,0.0484,-0.9079,1.0046
Komoditas,Tepung Terigu,2025-11,2025-11-01,0.0335,-0.9278,0.9947
Komoditas,Tepung Terigu,2025-12,2025-12-01,0.6822,-0.2790,1.6433
Komoditas,Tepung Terigu,2026-01,2026-01-01,-0.5616,-1.5229,0.3997
Komoditas,Tepung Terigu,2026-02,2026-02-01,0.6718,-0.2894,1.6331
Komoditas,Udang Basah,2025-09,2025-09-01,-0.0718,-2.9631,2.8194
Komoditas,Udang Basah,2025-10,2025-10-01,-0.1047,-3.1287,2.9192
Komoditas,Udang Basah,2025-11,2025-11-01,0.0801,-2.9648,3.1250
Komoditas,Udang Basah,2025-12,2025-12-01,-0.6914,-3.7363,2.3535
Komoditas,Udang Basah,2026-01,2026-01-01,-0.0138,-3.0595,3.0319
Komoditas,Udang Basah,2026-02,2026-02-01,1.1208,-1.9247,4.1663
